B2-B3 calculated,,,,,,,DeRosa Calculations,,,,,
sep,seperr,PA,PAerr,date,filter,Nimgs used,true sep,true sep err,true pa,true pa err,,pa diff
116.2050913,4.766107314,210.211554,0.5954022989,2001-12-20,NB2.108,7,115.69,0.4,209.32,0.2,,0.8915539788
116.3293599,6.830985662,211.6494282,0.7682729076,2004-10-03,Br_gamma,2,116.97,0.77,212.17,0.38,,-0.5205717978
115.9192321,0.4442952509,212.9219291,0.1645273154,2005-02-16,NB2.108,3,116.34,0.45,212.7,0.22,,0.2219290653
116.1086314,0.1116458639,212.8402038,0.02967930015,2005-02-25,Br_gamma,3,116.93,0.3,212.94,0.15,,-0.09979615918
117.2486512,4.133376625,219.1283215,0.5426954531,2011-02-06,Br_gamma,6,114.97,0.89,219.47,0.44,,-0.3416785483
116.9361198,1.880444184,218.1535011,0.9426250251,2011-02-06,Br_gamma,9,116.03,0.71,219.35,0.35,,-1.196498888
114.4526157,0.556934337,223.7763704,0.859511,2014-09-03,Kp,6,115.12,0.14,223.9,0.07,,-0.1236296126
115.0120935,4.234629988,223.9800964,1.870615808,2014-12-06,H,15,115.41,0.28,223.99,0.14,,-0.009903604636
114.0902758,5.086395677,224.2898234,0.6944578808,2015-10-27,Br_gamma,9,115.07,0.23,224.93,0,,-0.6401765995
115.3176341,3.311465176,224.42355,0.6615581297,2016-01-18,Br_gamma,10,115.52,0.2,225.08,0.1,,-0.6564500015
115.3176341,3.311465176,224.42355,0.6615581297,2016-01-18,Br_gamma,6,114.88,0.16,225.14,0.08,,-0.7164500015
115.2963316,2.548285948,225.2528959,1.119553901,2016-02-21,Br_gamma,9,115.17,0.19,225.13,0.09,,0.1228958575
114.4980723,2.177747137,226.0395732,1.549367579,2016-08-20,Ks,4,115.52,0.44,226.23,0.22,,-0.1904267916
115.0671955,4.192827059,227.4578214,0.5579142509,2018-02-13,Br_gamma,11,115.31,0.18,227.59,0.08,,-0.1321785611
114.3158419,2.813577379,229.3599042,0.5610913119,2019-11-03,Br_gamma,20,,,,,,
114.13,2.23444962,229.6895806,0.002706554349,2020-01-04,Br_gamma,25,,,,,,
,,,,,,,,,,,,
,24,,,,,,,,,,,
sep,2.080038986,,,,,,,,,,,
seperr,2.23444962,,,,,,,,,,,
PA,229.6895806,,,,,,,,,,,
PAerr,0.002706554349,,,,,,,,,,,
date,2020-01-04,,,,,,,,,,,
filter,Br_gamma,,,,,,,,,,,
