sep,seperr,PA,PAerr,date,filter
14.897,0.222,42.298,2.419,2013-04-06,Ys
14.755,0.246,43.188,2.586,2013-04-06,Ys
14.693,0.192,42.868,2.049,2013-04-06,Ys
14.653,0.239,42.535,2.073,2013-04-06,zprime
14.558,0.254,42.263,2.364,2013-04-07,rprime
14.550,0.223,42.511,1.862,2013-04-07,iprime
14.469,0.252,42.235,2.209,2013-04-07,rprime
14.683,0.212,42.628,1.761,2013-04-07,zprime
14.498,0.219,42.711,1.819,2013-04-07,iprime
14.397,0.254,42.446,2.150,2013-04-07,rprime
14.639,0.208,42.553,1.727,2013-04-07,zprime
14.789,0.133,225.204,3.093,2014-11-29,SDI-H-alpha
14.990,0.055,225.369,1.870,2014-11-29,SDI-H-alpha
14.443,0.135,219.562,3.752,2014-11-29,SDI-H-alpha
14.958,0.280,226.834,4.111,2015-12-11,SDI-H-alpha
15.321,0.316,227.439,4.489,2015-12-11,SDI-H-alpha
14.243,0.311,228.868,4.648,2015-12-11,SDI-H-alpha
15.121,0.236,223.956,3.546,2015-12-11,SDI-H-alpha
15.387,0.229,227.135,4.087,2015-12-11,SDI-H-alpha
14.565,0.327,46.714,2.725,2016-11-17,iprime
14.635,0.305,46.681,2.518,2016-11-17,zprime
14.617,0.299,46.418,2.496,2016-11-17,zprime
14.521,0.009,226.807,0.526,2017-02-04,Ys
14.447,0.013,226.573,0.479,2017-02-04,zprime
14.457,0.278,226.870,2.311,2017-02-06,iprime
14.458,0.280,226.907,2.293,2017-02-06,iprime
14.448,0.267,226.922,2.176,2017-02-06,iprime
14.463,0.274,226.892,2.232,2017-02-06,iprime
14.433,0.015,226.837,0.408,2017-02-06,zprime
14.540,0.267,226.878,2.162,2017-02-06,zprime
14.512,0.257,226.783,2.086,2017-02-06,zprime
14.398,0.228,227.380,2.201,2017-02-14,iprime
14.494,0.230,227.290,2.191,2017-02-14,iprime
14.492,0.225,226.678,2.081,2017-02-14,iprime
14.461,0.249,226.799,2.402,2017-02-14,iprime
14.569,0.067,226.815,1.389,2017-02-14,zprime
14.632,0.404,48.089,3.538,2018-04-26,rprime
14.417,0.321,48.094,2.846,2018-04-26,rprime
14.295,0.297,48.362,2.609,2018-04-26,rprime
14.335,0.322,48.323,2.817,2018-04-26,rprime
14.529,0.239,48.352,2.084,2018-04-26,zprime
14.557,0.247,48.320,2.147,2018-04-26,zprime
14.553,0.247,48.356,2.136,2018-04-26,zprime
14.610,0.259,48.256,2.245,2018-04-26,zprime
