epoch,object,sep,sep_err,pa,pa_err,instrument
50735,1,114,50,204.3,4,SAOa
51120,1,117,50,205.7,4,SAOa
52171,1,118.2,4,207.8,1,GEMINI
52263,1,115.6,4.766,210.212,0.595,NIRC2
52659,1,116,3,209.7,1,MMT
53281,1,116.329,6.831,211.649,0.768,NIRC2
53417,1,115.919,0.444,212.922,0.165,NIRC2
53426,1,116.109,0.112,212.84,0.03,NIRC2
55850,1,115.6,0.5,220.39,0.3,LBT
55598,1,117.249,4.133,219.128,0.543,NIRC2
55598,1,116.936,1.88,218.154,0.943,NIRC2
56265,1,116,0.2,221.5,0.3,MagAO
56388,1,115.914,1.223,221.989,1.584,MagAO
56389,1,115.914,1.015,221.992,1.047,MagAO
56990,1,115.648,0.55,223.931,2.079,MagAO
56903,1,114.453,0.557,223.776,0.86,NIRC2
56997,1,115.012,4.235,223.98,1.871,NIRC2
57322,1,114.09,5.086,224.29,0.694,NIRC2
57367,1,115.447,1.301,225.152,2.603,MagAO
57405,1,115.318,3.311,224.424,0.662,NIRC2
57405,1,115.318,3.311,224.424,0.662,NIRC2
57439,1,115.296,2.548,225.253,1.12,NIRC2
57620,1,114.498,2.178,226.04,1.549,NIRC2
57709,1,115.239,2.008,226.264,2.108,MagAO
57788,1,115.188,0.116,226.521,0.498,MagAO
57790,1,115.187,0.117,226.527,0.526,MagAO
57798,1,115.182,0.673,226.554,1.218,MagAO
58162,1,115.067,4.193,227.458,0.558,NIRC2
58234,1,114.875,1.121,227.979,1.218,MagAO
58790,1,114.316,2.814,229.36,0.561,NIRC2
58852,1,114.13,2.234,229.69,0.003,NIRC2
