,epoch,object,sep,sep_err,pa,pa_err
0,52263.0,1.0,114.9807527,0.4067376329,210.2567952,0.8972297739
1,53281.0,1.0,116.2103751,0.3004778275,212.6972472,-0.1180896586
2,53417.0,1.0,115.4442139,0.3434066982,213.23876769999995,0.5422877876
3,53426.0,1.0,114.99556840000001,0.20499568510000002,212.98132880000003,0.6553439382
4,55598.0,1.0,114.78487009999999,0.20499568510000002,215.82012680000003,1.643910772
6,56903.0,1.0,114.53804650000001,0.1615101018,227.6048438,0.7132251594
8,57322.0,1.0,114.5686381,0.6854564726000001,225.05853309999998,0.8574155481999999
9,57405.0,1.0,114.8877645,1.83609119,225.106614,1.402858095
11,57439.0,1.0,114.98485749999999,1.640655793,225.24636980000002,1.37339813
12,57620.0,1.0,115.63477490000001,1.042459257,225.77003650000003,1.6876622609999998
13,58162.0,1.0,114.5702554,0.3966745001,227.7344261,0.7264554125
14,58790.0,1.0,113.7145896,0.32651654469999997,229.7766693,0.5740189717
15,58852.0,1.0,113.8708082,0.3608648052,229.87412650000002,0.5830248161
