#VisAO H-alfa, April 2014 and later
#Digitized by Ya-lin Wu
#Filter by Custom Scientific, Log 276001
#    lamda(microns)   trans(normalized)
     0.647640  0.000867867
     0.647670  0.000775925
     0.647700  0.000932072
     0.647730   0.00108822
     0.647760   0.00124437
     0.647790   0.00140051
     0.647820   0.00155666
     0.647850   0.00171281
     0.647880   0.00186095
     0.647910   0.00170487
     0.647940   0.00154878
     0.647970   0.00139269
     0.648000   0.00123661
     0.648030   0.00108053
     0.648060  0.000924441
     0.648090  0.000737206
     0.648120  0.000537898
     0.648150  0.000338591
     0.648180  0.000139285
     0.648210  0.000239645
     0.648240  0.000465636
     0.648270  0.000691627
     0.648300  0.000917618
     0.648330   0.00114361
     0.648360   0.00136960
     0.648390   0.00159559
     0.648420   0.00182158
     0.648450   0.00189510
     0.648480   0.00190787
     0.648510   0.00192065
     0.648540   0.00193342
     0.648570   0.00194619
     0.648600   0.00195896
     0.648630   0.00197174
     0.648660   0.00198452
     0.648690   0.00199729
     0.648720   0.00201008
     0.648750   0.00202285
     0.648780   0.00195522
     0.648810   0.00167130
     0.648840   0.00138737
     0.648870   0.00110344
     0.648900  0.000819520
     0.648930  0.000535597
     0.648960  0.000525945
     0.648990  0.000759878
     0.649020  0.000993811
     0.649050   0.00122775
     0.649080   0.00146168
     0.649110   0.00155948
     0.649140   0.00144841
     0.649170   0.00133732
     0.649200   0.00122624
     0.649230   0.00111515
     0.649260   0.00100406
     0.649290  0.000892978
     0.649320  0.000989274
     0.649350   0.00127860
     0.649380   0.00156793
     0.649410   0.00185726
     0.649440   0.00214659
     0.649470   0.00243592
     0.649500   0.00272525
     0.649530   0.00301923
     0.649560   0.00331547
     0.649590   0.00361171
     0.649620   0.00390795
     0.649650   0.00420419
     0.649680   0.00450044
     0.649710   0.00479667
     0.649740   0.00527605
     0.649770   0.00579301
     0.649800   0.00630996
     0.649830   0.00682690
     0.649860   0.00734386
     0.649890   0.00786081
     0.649920   0.00837725
     0.649950   0.00863403
     0.649980   0.00889079
     0.650010   0.00914757
     0.650040   0.00940434
     0.650070   0.00966112
     0.650100   0.00991789
     0.650130    0.0101747
     0.650160    0.0106800
     0.650190    0.0113621
     0.650220    0.0120443
     0.650250    0.0127265
     0.650280    0.0134086
     0.650310    0.0140908
     0.650340    0.0147192
     0.650370    0.0151594
     0.650400    0.0155997
     0.650430    0.0160400
     0.650460    0.0164802
     0.650490    0.0169204
     0.650520    0.0173606
     0.650550    0.0183437
     0.650580    0.0194256
     0.650610    0.0205075
     0.650640    0.0215893
     0.650670    0.0226712
     0.650700    0.0237531
     0.650730    0.0248349
     0.650760    0.0260592
     0.650790    0.0273116
     0.650820    0.0285640
     0.650850    0.0298164
     0.650880    0.0310688
     0.650910    0.0323212
     0.650940    0.0337936
     0.650970    0.0354741
     0.651000    0.0371547
     0.651030    0.0388352
     0.651060    0.0405348
     0.651090    0.0431754
     0.651120    0.0458161
     0.651150    0.0484569
     0.651180    0.0510975
     0.651210    0.0538314
     0.651240    0.0567360
     0.651270    0.0596406
     0.651300    0.0625452
     0.651330    0.0658153
     0.651360    0.0693471
     0.651390    0.0728789
     0.651420    0.0764107
     0.651450    0.0809588
     0.651480    0.0857016
     0.651510    0.0906344
     0.651540    0.0969208
     0.651570     0.103207
     0.651600     0.105499
     0.651630     0.107728
     0.651660     0.109958
     0.651690     0.120246
     0.651720     0.127543
     0.651750     0.134840
     0.651780     0.149964
     0.651810     0.152310
     0.651840     0.154657
     0.651870     0.156762
     0.651900     0.171959
     0.651930     0.191994
     0.651960     0.210196
     0.651990     0.220780
     0.652020     0.222381
     0.652050     0.234787
     0.652080     0.244269
     0.652110     0.255036
     0.652140     0.261623
     0.652170     0.283796
     0.652200     0.296771
     0.652230     0.309849
     0.652260     0.319494
     0.652290     0.333092
     0.652320     0.354089
