#VisAO H-alfa Continuu, April 2014 and later
#Digitized by Ya-lin Wu
#Filter by Custom Scientific, Log 276134
#    lamda(microns)   trans(normalized)
     0.633300      0.00000
     0.633330   0.00101414
     0.633360  0.000942616
     0.633390   0.00110869
     0.633420   0.00130895
     0.633450   0.00150922
     0.633480   0.00170949
     0.633510   0.00190975
     0.633540   0.00211002
     0.633570   0.00231028
     0.633600   0.00247329
     0.633630   0.00261089
     0.633660   0.00274849
     0.633690   0.00288609
     0.633720   0.00302369
     0.633750   0.00316129
     0.633780   0.00329890
     0.633810   0.00337327
     0.633840   0.00331165
     0.633870   0.00325001
     0.633900   0.00318838
     0.633930   0.00312674
     0.633960   0.00306511
     0.633990   0.00300347
     0.634020   0.00285777
     0.634050   0.00266726
     0.634080   0.00247674
     0.634110   0.00228621
     0.634140   0.00209569
     0.634170   0.00190518
     0.634200   0.00171466
     0.634230   0.00152413
     0.634260   0.00133362
     0.634290   0.00128253
     0.634320   0.00133652
     0.634350   0.00139051
     0.634380   0.00144450
     0.634410   0.00149850
     0.634440   0.00155249
     0.634470   0.00160647
     0.634500   0.00168512
     0.634530   0.00182272
     0.634560   0.00196032
     0.634590   0.00209792
     0.634620   0.00223553
     0.634650   0.00237314
     0.634680   0.00251074
     0.634710   0.00264542
     0.634740   0.00261575
     0.634770   0.00258608
     0.634800   0.00255640
     0.634830   0.00252673
     0.634860   0.00249706
     0.634890   0.00246738
     0.634920   0.00243771
     0.634950   0.00237681
     0.634980   0.00230529
     0.635010   0.00223376
     0.635040   0.00216224
     0.635070   0.00209072
     0.635100   0.00201920
     0.635130   0.00194768
     0.635160   0.00204754
     0.635190   0.00233701
     0.635220   0.00262647
     0.635250   0.00291594
     0.635280   0.00320540
     0.635310   0.00349487
     0.635340   0.00378433
     0.635370   0.00406927
     0.635400   0.00435308
     0.635430   0.00463689
     0.635460   0.00492070
     0.635490   0.00520451
     0.635520   0.00548832
     0.635550   0.00546656
     0.635580   0.00543689
     0.635610   0.00540723
     0.635640   0.00537755
     0.635670   0.00534789
     0.635700   0.00531822
     0.635730   0.00526656
     0.635760   0.00490148
     0.635790   0.00453641
     0.635820   0.00417134
     0.635850   0.00380627
     0.635880   0.00344120
     0.635910   0.00321512
     0.635940   0.00307377
     0.635970   0.00293243
     0.636000   0.00279107
     0.636030   0.00264973
     0.636060   0.00256910
     0.636090   0.00278324
     0.636120   0.00299739
     0.636150   0.00321152
     0.636180   0.00342566
     0.636210   0.00363980
     0.636240   0.00385394
     0.636270   0.00406808
     0.636300   0.00409641
     0.636330   0.00410160
     0.636360   0.00410680
     0.636390   0.00411199
     0.636420   0.00411719
     0.636450   0.00412239
     0.636480   0.00412759
     0.636510   0.00428722
     0.636540   0.00454315
     0.636570   0.00479909
     0.636600   0.00505502
     0.636630   0.00531095
     0.636660   0.00556688
     0.636690   0.00582281
     0.636720   0.00627603
     0.636750   0.00712186
     0.636780   0.00796768
     0.636810   0.00881349
     0.636840   0.00965931
     0.636870    0.0105051
     0.636900    0.0113509
     0.636930    0.0121816
     0.636960    0.0125905
     0.636990    0.0129993
     0.637020    0.0134081
     0.637050    0.0138169
     0.637080    0.0142258
     0.637110    0.0146345
     0.637140    0.0150433
     0.637170    0.0155455
     0.637200    0.0160793
     0.637230    0.0166131
     0.637260    0.0171468
     0.637290    0.0176807
     0.637320    0.0182144
     0.637350    0.0187482
     0.637380    0.0193767
     0.637410    0.0201185
     0.637440    0.0208604
     0.637470    0.0216022
     0.637500    0.0223440
     0.637530    0.0230857
     0.637560    0.0238276
     0.637590    0.0246185
     0.637620    0.0256716
     0.637650    0.0267246
     0.637680    0.0277777
     0.637710    0.0288308
     0.637740    0.0298838
     0.637770    0.0309369
     0.637800    0.0319900
     0.637830    0.0336256
     0.637860    0.0353642
     0.637890    0.0371029
     0.637920    0.0388415
     0.637950    0.0405802
     0.637980    0.0423188
     0.638010    0.0445638
     0.638040    0.0469865
     0.638070    0.0494092
     0.638100    0.0518319
     0.638130    0.0542546
     0.638160    0.0569980
     0.638190    0.0599286
     0.638220    0.0628592
     0.638250    0.0657898
     0.638280    0.0687205
     0.638310    0.0727774
     0.638340    0.0769329
     0.638370    0.0810885
     0.638400    0.0850443
     0.638430    0.0889589
     0.638460    0.0928734
     0.638490     0.105988
     0.638520     0.110092
     0.638550     0.114196
     0.638580     0.118300
     0.638610     0.123458
     0.638640     0.130374
     0.638670     0.137971
     0.638700     0.146462
     0.638730     0.155601
     0.638760     0.161836
     0.638790     0.168273
     0.638820     0.181368
     0.638850     0.190003
     0.638880     0.195581
     0.638910     0.208944
     0.638940     0.214336
     0.638970     0.236490
     0.639000     0.249201
     0.639030     0.260317
     0.639060     0.272352
     0.639090     0.289376
     0.639120     0.311076
     0.639150     0.319949
     0.639180     0.338483
     0.639210     0.352567
     0.639240     0.368018
     0.639270     0.376891
     0.639300     0.394255
     0.639330     0.406842
     0.639360     0.441511
     0.639390     0.455995
     0.639420     0.469791
     0.639450     0.493208
     0.639480     0.508083
     0.639510     0.532349
     0.639540     0.550325
     0.639570     0.565564
     0.639600     0.588255
     0.639630     0.599860
     0.639660     0.617529
     0.639690     0.632119
     0.639720     0.656646
     0.639750     0.672107
     0.639780     0.687991
     0.639810     0.712827
     0.639840     0.723532
     0.639870     0.746462
     0.639900     0.766975
     0.639930     0.777561
     0.639960     0.788883
     0.639990     0.813923
     0.640020     0.829508
     0.640050     0.839022
     0.640080     0.845059
     0.640110     0.861060
     0.640140     0.871766
     0.640170     0.881220
     0.640200     0.889898
     0.640230     0.897836
     0.640260     0.905016
     0.640290     0.912037
     0.640320     0.922211
     0.640350     0.928925
     0.640380     0.933865
     0.640410     0.938700
     0.640440     0.943096
     0.640470     0.947491
     0.640500     0.951195
     0.640530     0.954625
     0.640560     0.958055
     0.640590     0.961447
     0.640620     0.963086
     0.640650     0.964726
     0.640680     0.966366
     0.640710     0.968005
     0.640740     0.969644
     0.640770     0.971284
     0.640800     0.971666
     0.640830     0.971929
     0.640860     0.972191
     0.640890     0.972454
     0.640920     0.972717
     0.640950     0.972980
     0.640980     0.973243
     0.641010     0.973445
     0.641040     0.973613
     0.641070     0.973782
     0.641100     0.973949
     0.641130     0.974116
     0.641160     0.974285
     0.641190     0.974452
     0.641220     0.974590
     0.641250     0.974634
     0.641280     0.974677
     0.641310     0.974719
     0.641340     0.974762
     0.641370     0.974804
     0.641400     0.974847
     0.641430     0.974918
     0.641460     0.975328
     0.641490     0.975737
     0.641520     0.976145
     0.641550     0.976554
     0.641580     0.976963
     0.641610     0.977371
     0.641640     0.977781
     0.641670     0.978469
     0.641700     0.979232
     0.641730     0.979995
     0.641760     0.980757
     0.641790     0.981520
     0.641820     0.982283
     0.641850     0.983045
     0.641880     0.983757
     0.641910     0.984416
     0.641940     0.985074
     0.641970     0.985733
     0.642000     0.986391
     0.642030     0.987050
     0.642060     0.987709
     0.642090     0.988384
     0.642120     0.989125
     0.642150     0.989867
     0.642180     0.990608
     0.642210     0.991351
     0.642240     0.992093
     0.642270     0.992834
     0.642300     0.993576
     0.642330     0.993948
     0.642360     0.994279
     0.642390     0.994610
     0.642420     0.994941
     0.642450     0.995272
     0.642480     0.995602
     0.642510     0.995934
     0.642540     0.996293
     0.642570     0.996654
     0.642600     0.997014
     0.642630     0.997374
     0.642660     0.997734
     0.642690     0.998095
     0.642720     0.998455
     0.642750     0.998755
     0.642780     0.998934
     0.642810     0.999113
     0.642840     0.999293
     0.642870     0.999472
     0.642900     0.999651
     0.642930     0.999831
     0.642960      1.00000
     0.642990     0.999970
     0.643020     0.999940
     0.643050     0.999911
     0.643080     0.999881
     0.643110     0.999852
     0.643140     0.999822
     0.643170     0.999792
     0.643200     0.999615
     0.643230     0.999397
     0.643260     0.999179
     0.643290     0.998961
     0.643320     0.998742
     0.643350     0.998524
     0.643380     0.998306
     0.643410     0.997969
     0.643440     0.997520
     0.643470     0.997071
     0.643500     0.996622
     0.643530     0.996173
     0.643560     0.995724
     0.643590     0.995275
     0.643620     0.994704
     0.643650     0.993785
     0.643680     0.992866
     0.643710     0.991947
     0.643740     0.991028
     0.643770     0.990108
     0.643800     0.989190
     0.643830     0.988260
     0.643860     0.986652
     0.643890     0.985042
     0.643920     0.983433
     0.643950     0.981825
     0.643980     0.980215
     0.644010     0.978606
     0.644040     0.976614
     0.644070     0.974043
     0.644100     0.971473
     0.644130     0.968903
     0.644160     0.966332
     0.644190     0.963552
     0.644220     0.960638
     0.644250     0.957723
     0.644280     0.954780
     0.644310     0.950498
     0.644340     0.946217
     0.644370     0.941956
     0.644400     0.938095
     0.644430     0.934232
     0.644460     0.929187
     0.644490     0.923552
     0.644520     0.917795
     0.644550     0.911764
     0.644580     0.905733
     0.644610     0.899130
     0.644640     0.892495
     0.644670     0.883924
     0.644700     0.876575
     0.644730     0.872451
     0.644760     0.860408
     0.644790     0.851057
     0.644820     0.845853
     0.644850     0.839153
     0.644880     0.826412
     0.644910     0.817065
     0.644940     0.808384
     0.644970     0.798404
     0.645000     0.787690
     0.645030     0.776994
     0.645060     0.766283
     0.645090     0.755633
     0.645120     0.744518
     0.645150     0.729583
     0.645180     0.716172
     0.645210     0.704238
     0.645240     0.690654
     0.645270     0.677582
     0.645300     0.665310
     0.645330     0.655371
     0.645360     0.644322
     0.645390     0.628757
     0.645420     0.622044
     0.645450     0.600978
     0.645480     0.585944
     0.645510     0.570331
     0.645540     0.558123
     0.645570     0.543437
     0.645600     0.530084
     0.645630     0.517457
     0.645660     0.501554
     0.645690     0.487780
     0.645720     0.475466
     0.645750     0.456586
     0.645780     0.442826
     0.645810     0.430328
     0.645840     0.417240
     0.645870     0.418699
     0.645900     0.408733
     0.645930     0.380905
     0.645960     0.364482
     0.645990     0.350507
     0.646020     0.332403
     0.646050     0.330943
     0.646080     0.311015
     0.646110     0.279616
     0.646140     0.274865
     0.646170     0.270828
     0.646200     0.266789
     0.646230     0.249567
     0.646260     0.242113
     0.646290     0.234266
     0.646320     0.222037
     0.646350     0.216857
     0.646380     0.212171
     0.646410     0.207485
     0.646440     0.189789
     0.646470     0.182638
     0.646500     0.175425
     0.646530     0.167540
     0.646560     0.159842
     0.646590     0.153294
     0.646620     0.146746
     0.646650     0.140193
     0.646680     0.133839
     0.646710     0.128205
     0.646740     0.122571
