Nested Sampling Global Log-Evidence           :    0.149581321763786036E+03  +/-    0.179264028163332395E+00
Nested Importance Sampling Global Log-Evidence:    0.149578577189676224E+03  +/-    0.188511715962452961E-01

Dim No.       Mean        Sigma
   1    0.216982951370382096E+03    0.112718520072569925E+00
   2    0.218632778010462005E+03    0.118873191731448377E+00
   3    0.324246326067398050E+01    0.877236586389809614E-01
   4    0.148978016595711571E+01    0.350782633012918232E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.216983164317345484E+03
   2    0.218630638582336530E+03
   3    0.324760398849098886E+01
   4    0.148659100415381484E+01

MAP Parameters
Dim No.        Parameter
   1    0.216983164317345484E+03
   2    0.218630638582336530E+03
   3    0.324760398849098886E+01
   4    0.148659100415381484E+01
