Nested Sampling Global Log-Evidence           :   -0.549489944000480079E+02  +/-    0.103205092546696520E+00
Nested Importance Sampling Global Log-Evidence:   -0.547373416339741468E+02  +/-    0.100496226826531906E+00

Dim No.       Mean        Sigma
   1    0.215767410989412440E+03    0.273734402907115504E+01
   2    0.221594298206608670E+03    0.285585941007342203E+01
   3    0.540506948981678767E-01    0.416152642587246241E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.214437201831184751E+03
   2    0.225203098124484427E+03
   3    0.549201677708985869E-01

MAP Parameters
Dim No.        Parameter
   1    0.219313013214794694E+03
   2    0.224504920253388434E+03
   3    0.975264757411586913E-02
