Nested Sampling Global Log-Evidence           :    0.178316149853149966E+03  +/-    0.200080622148856385E+00
Nested Importance Sampling Global Log-Evidence:    0.178534385418995868E+03  +/-    0.201510573807520861E-01

Dim No.       Mean        Sigma
   1    0.217057920899210188E+03    0.466328688820155240E-01
   2    0.218628390170389906E+03    0.391887854896623561E-01
   3    0.392687270602079685E+01    0.333485208901189364E-01
   4    0.141431978573170136E+01    0.368937015829757103E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.217055609648176414E+03
   2    0.218622877721334817E+03
   3    0.393484062672300894E+01
   4    0.142360767359500873E+01

MAP Parameters
Dim No.        Parameter
   1    0.217055609648176414E+03
   2    0.218622877721334817E+03
   3    0.393484062672300894E+01
   4    0.142360767359500873E+01
