Nested Sampling Global Log-Evidence           :   -0.272332560386601244E+03  +/-    0.147456873479740791E+00
Nested Importance Sampling Global Log-Evidence:   -0.271960621513890317E+03  +/-    0.710793161016027436E-01

Dim No.       Mean        Sigma
   1    0.217270717876212217E+03    0.402630368630619406E+00
   2    0.223846834422123948E+03    0.339837716068045637E+00
   3    0.344377192294908152E+01    0.236350720600871755E+00
   4    0.123290393976535340E+01    0.369513967765165499E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.217330233697210986E+03
   2    0.223880269218675437E+03
   3    0.353847570324110139E+01
   4    0.123197234166849956E+01

MAP Parameters
Dim No.        Parameter
   1    0.217330233697210986E+03
   2    0.223880269218675437E+03
   3    0.353847570324110139E+01
   4    0.123197234166849956E+01
