Nested Sampling Global Log-Evidence           :   -0.705400187609677232E+03  +/-    0.105485130389537801E+00
Nested Importance Sampling Global Log-Evidence:   -0.705277405235961055E+03  +/-    0.887482166947946433E-01

Dim No.       Mean        Sigma
   1    0.215569831310209082E+03    0.112586566059038762E+01
   2    0.221555858688094276E+03    0.116010805723577892E+01
   3    0.891710848022699398E+00    0.386014335215821847E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.216967458919723128E+03
   2    0.221455471402278960E+03
   3    0.895633544203995768E+00

MAP Parameters
Dim No.        Parameter
   1    0.215205120914493762E+03
   2    0.220768240930227989E+03
   3    0.857622195350090877E+00
