Nested Sampling Global Log-Evidence           :    0.293139242527427122E+02  +/-    0.101375094548540282E+00
Nested Importance Sampling Global Log-Evidence:    0.299053540544832153E+02  +/-    0.577698487507094099E-01

Dim No.       Mean        Sigma
   1    0.220106166020483982E+03    0.140438857053735133E+01
   2    0.228402193559353748E+03    0.145007522235089370E+01
   3    0.129695881778013389E+01    0.495900983508160212E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.221217435025196892E+03
   2    0.227322314074143122E+03
   3    0.129992840992555880E+01

MAP Parameters
Dim No.        Parameter
   1    0.222385099930614189E+03
   2    0.228082919017325139E+03
   3    0.125169424300296050E+01
